4RBKR	76WS	accepted	species	Ramaria aenea	R.H. Petersen
4RBLH	76WS	accepted	species	Ramaria atkinsonii	(Bres. ex G.F. Atk.) R.H. Petersen
4RBN7	76WS	accepted	species	Ramaria cladoniae	(Kalchbr.) D.A. Reid
9ZF4J	76WS	accepted	species	Ramaria gracilioides	Franchi & M. Marchetti
78RD6	76WS	accepted	species	Ramaria primulina	R.H. Petersen
6WRCS	76WS	accepted	species	Ramaria gypsea	Schild
4RBWH	76WS	accepted	species	Ramaria terrea	Schild
4RBMD	76WS	accepted	species	Ramaria cacao	(Coker) Corner
4RBR2	76WS	accepted	species	Ramaria graminicola	Velen.
4RBTY	76WS	accepted	species	Ramaria perbrunnea	Corner & K.S. Thind
4RBSB	76WS	accepted	species	Ramaria laevispora	Corner & K.S. Thind
4RBPH	76WS	accepted	species	Ramaria edwinii	Franchi & M. Marchetti
4RBLN	76WS	accepted	species	Ramaria aureofulva	Corner
4RBRN	76WS	accepted	species	Ramaria incongrua	R.H. Petersen
4RBMS	76WS	accepted	species	Ramaria cedretorum	(Maire) Malençon
4RBWX	76WS	accepted	species	Ramaria velocimutans	Marr & D.E. Stuntz
4RBSY	76WS	accepted	species	Ramaria madagascariensis	(Henn.) Corner
6WRCT	76WS	accepted	species	Ramaria pseudoflava	Franchi & M. Marchetti
4RBTW	76WS	accepted	species	Ramaria pauciramosa	Velen.
4RBWV	76WS	accepted	species	Ramaria varians	Schild
4RBTV	76WS	accepted	species	Ramaria patagonica	(Speg.) Corner
4RBTL	76WS	accepted	species	Ramaria ononidea	Velen.
78RCT	76WS	accepted	species	Ramaria pupulispora	Corner
4RBVZ	76WS	accepted	species	Ramaria stricta	(Pers.) Quél.
4RBRC	76WS	accepted	species	Ramaria hemirubella	R.H. Petersen & M. Zang
4RBNH	76WS	accepted	species	Ramaria conjuncta	(Peck) Corner
4RBM9	76WS	accepted	species	Ramaria brunneicontusa	R.H. Petersen
4RBVW	76WS	accepted	species	Ramaria somniculosa	R.H. Petersen
4RBNM	76WS	accepted	species	Ramaria cornicularioides	(Henn.) Corner
4RBLW	76WS	accepted	species	Ramaria bidentata	Velen.
4RBML	76WS	accepted	species	Ramaria canescens	R.H. Petersen
4RBLD	76WS	accepted	species	Ramaria armeniaca	R.H. Petersen & Scates
4RBMF	76WS	accepted	species	Ramaria camelicolor	Corner, K.S. Thind & Anand
4RBS6	76WS	accepted	species	Ramaria krieglsteineri	Schild
4RBWZ	76WS	accepted	species	Ramaria verna	(Coker) Corner
4RBKW	76WS	accepted	species	Ramaria alborosea	Schild
9ZF4K	76WS	accepted	species	Ramaria ichnusensis	Franchi, A. Gennari & M. Marchetti
78RD3	76WS	accepted	species	Ramaria pinicola	(Burt) Corner
4RBPZ	76WS	accepted	species	Ramaria filicicola	(S.G.M. Fawc.) Corner
4RBTZ	76WS	accepted	species	Ramaria perfluopunicea	R.H. Petersen
4RBQK	76WS	accepted	species	Ramaria flavoviridis	Corner & K.S. Thind
6X3F4	76WS	accepted	species	Ramaria concolor	(Corner) R.H. Petersen
4RBSK	76WS	accepted	species	Ramaria longispora	Marr & D.E. Stuntz
4RBKS	76WS	accepted	species	Ramaria africana	R.H. Petersen
4RBQL	76WS	accepted	species	Ramaria flavula	(G.F. Atk.) R.H. Petersen
4RBW2	76WS	accepted	species	Ramaria stuntzii	Marr
4RBMY	76WS	accepted	species	Ramaria chocoensis	C. Hahn & Christan
4RBRJ	76WS	accepted	species	Ramaria holorubella	(G.F. Atk.) Corner
4RBVN	76WS	accepted	species	Ramaria sesiana	Schild
4RBRH	76WS	accepted	species	Ramaria himalayensis	R.H. Petersen
4RBRM	76WS	accepted	species	Ramaria incognita	R.H. Petersen
6X3D4	76WS	accepted	species	Ramaria intimorosea	Schild & Vrscaj
4RBL4	76WS	accepted	species	Ramaria amyloidea	Marr & D.E. Stuntz
4RBN3	76WS	accepted	species	Ramaria cinereocarnea	R.H. Petersen
6WRD3	76WS	accepted	species	Ramaria parabotrytis	Franchi & M. Marchetti
4RBPN	76WS	accepted	species	Ramaria eryuanensis	R.H. Petersen & M. Zang
4RBLR	76WS	accepted	species	Ramaria avellaneovertex	R.H. Petersen
4RBKX	76WS	accepted	species	Ramaria altaica	Schwarzman & Philim.
6X3D5	76WS	accepted	species	Ramaria pumila	Schild
4RBWF	76WS	accepted	species	Ramaria synaptopoda	Marr & D.E. Stuntz
4RBW3	76WS	accepted	species	Ramaria suaveolens	Cázares
4RBR3	76WS	accepted	species	Ramaria grandipes	Schild & R.H. Petersen
4RBVP	76WS	accepted	species	Ramaria setifera	Velen.
6X3D7	76WS	accepted	species	Ramaria rosella	R.H. Petersen
4RBQP	76WS	accepted	species	Ramaria fragillima	(Sacc. & P. Syd.) Corner
9ZF4G	76WS	accepted	species	Ramaria atractospora	Franchi & M. Marchetti
4RBSR	76WS	accepted	species	Ramaria luteoflaccida	Corner
B37NM	76WS	accepted	species	Ramaria kafaensis	Gminder & Christan
4RBSN	76WS	accepted	species	Ramaria lorithamnus	(Berk.) R.H. Petersen
4RBPB	76WS	accepted	species	Ramaria divaricata	(Peck) Corner
4RBL7	76WS	accepted	species	Ramaria anziana	R.H. Petersen
4RBNC	76WS	accepted	species	Ramaria comitis	Schild
4RBQ5	76WS	accepted	species	Ramaria flava	(Schaeff.) Quél.
4RBP3	76WS	accepted	species	Ramaria cystidiophora	(Kauffman) Corner
4RBKL	76WS	accepted	species	Ramaria aciculospora	R.H. Petersen
793CW	76WS	accepted	species	Ramaria rasilisporoides	Exeter
6X3CW	76WS	accepted	species	Ramaria pusilla	Corner
4RBTF	76WS	accepted	species	Ramaria obtusissima	(Peck) Corner
9WX47	76WS	accepted	species	Ramaria junquilleo-vertex	R.H. Petersen
4RBSM	76WS	accepted	species	Ramaria longistipitata	Schwarzman
4RBQR	76WS	accepted	species	Ramaria fumosiavellanea	Marr & D.E. Stuntz
4RBLP	76WS	accepted	species	Ramaria aureorhiza	R.H. Petersen
4RBTB	76WS	accepted	species	Ramaria nanispora	R.H. Petersen & M. Zang
793D7	76WS	accepted	species	Ramaria samuelsii	R.H. Petersen
4RBPK	76WS	accepted	species	Ramaria ephemeroderma	R.H. Petersen & M. Zang
793CT	76WS	accepted	species	Ramaria purpureopallida	R.H. Petersen
4RBR4	76WS	accepted	species	Ramaria grandis	(Peck) Corner
4RBWK	76WS	accepted	species	Ramaria testaceoviolacea	(Doty) Corner
4RBW6	76WS	accepted	species	Ramaria subbotrytis	(Coker) Corner
4RBKZ	76WS	accepted	species	Ramaria ambigua	R.H. Petersen
4RBR7	76WS	accepted	species	Ramaria grundii	R.H. Petersen
4RBN8	76WS	accepted	species	Ramaria clarobrunnea	Corner, K.S. Thind & Anand
4RBLX	76WS	accepted	species	Ramaria bonii	Estrada
78RCR	76WS	accepted	species	Ramaria piedmontiana	R.H. Petersen
4RBQ3	76WS	accepted	species	Ramaria fistulosa	Corner
4RBM6	76WS	accepted	species	Ramaria brienzensis	Schild
6X3DY	76WS	accepted	species	Ramaria albidoflava	Schild
4RBQ8	76WS	accepted	species	Ramaria flaviceps	Corner, K.S. Thind & Anand
6WRCX	76WS	accepted	species	Ramaria zebrispora	R.H. Petersen
4RBXB	76WS	accepted	species	Ramaria zeppelinospora	R.H. Petersen
