Sample_ID,Prop_EcM_OTUs_unassigned,Prop_EcM_OTUs_assigned,Latitude,Longitude,Biome,Continent,Country,Year_of_sampling
GF04009179S,0.807860262,0.192139738,24.53,101.02,forest,Asia,China,2017
GF04009180S,0.722891566,0.277108434,27.12,100.17,forest,Asia,China,2017
GF04009183S,0.808988764,0.191011236,27.12,100.17,forest,Asia,China,2014
GF04009184S,0.795744681,0.204255319,21.61,101.57,forest,Asia,China,2017
GF04009185S,0.84137931,0.15862069,24.53,101.02,forest,Asia,China,2017
GF04009186S,0.821428571,0.178571429,24.53,101.02,forest,Asia,China,2014
GF04009187S,0.732142857,0.267857143,27.12,100.17,forest,Asia,China,2017
GF04009188S,0.765306122,0.234693878,24.53,101.02,forest,Asia,China,2014
GF04009189S,0.789215686,0.210784314,27.12,100.17,forest,Asia,China,2017
GF04009190S,0.847133758,0.152866242,21.61,101.57,forest,Asia,China,2017
GF04009191S,0.751552795,0.248447205,27.12,100.17,forest,Asia,China,2014
GF04009192S,0.773333333,0.226666667,27.12,100.17,forest,Asia,China,2014
GF04009193S,0.762626263,0.237373737,27.12,100.17,forest,Asia,China,2017
GF04009194S,0.792,0.208,24.53,101.02,forest,Asia,China,2017
GF04009195S,0.742081448,0.257918552,24.53,101.02,forest,Asia,China,2017
GF04009196S,0.755364807,0.244635193,24.53,101.02,forest,Asia,China,2014
GF04009198S,0.722222222,0.277777778,27.167,100.167,forest,Asia,China,2015
GF04009199S,0.770408163,0.229591837,27.12,100.17,forest,Asia,China,2017
GF04009200S,0.811111111,0.188888889,24.53,101.02,forest,Asia,China,2017
GF04009202S,0.74611399,0.25388601,27.12,100.17,forest,Asia,China,2017
GF04009203S,0.834437086,0.165562914,24.53,101.02,forest,Asia,China,2014
GF04009205S,0.743718593,0.256281407,27.12,100.17,forest,Asia,China,2014
GF04009207S,0.851851852,0.148148148,21.61,101.57,forest,Asia,China,2017
GF04009208S,0.75,0.25,27.12,100.17,forest,Asia,China,2017
GF04009209S,0.75,0.25,21.61,101.57,forest,Asia,China,2016
GF04009215S,0.815384615,0.184615385,24.53,101.02,forest,Asia,China,2017
GF04009216S,0.799256506,0.200743494,27.12,100.17,forest,Asia,China,2014
GF04009217S,0.807692308,0.192307692,24.53,101.02,forest,Asia,China,2017
GF04009219S,0.741463415,0.258536585,27.12,100.17,forest,Asia,China,2017
GF04009220S,0.748148148,0.251851852,21.61,101.57,forest,Asia,China,2017
GF04009221S,0.768361582,0.231638418,27.12,100.17,forest,Asia,China,2017
GF04009222S,0.763313609,0.236686391,24.53,101.02,forest,Asia,China,2014
GF04009223S,0.756906077,0.243093923,27.12,100.17,forest,Asia,China,2017
GF04009224S,0.702380952,0.297619048,27.12,100.17,forest,Asia,China,2017
GF04009225S,0.790123457,0.209876543,21.61,101.57,forest,Asia,China,2017
GF04009227S,0.824242424,0.175757576,24.53,101.02,forest,Asia,China,2014
GF04009228S,0.736842105,0.263157895,27.12,100.17,forest,Asia,China,2017
GF04009229S,0.79375,0.20625,24.53,101.02,forest,Asia,China,2014
GF04009230S,0.773722628,0.226277372,21.61,101.57,forest,Asia,China,2016
GF04009231S,0.854166667,0.145833333,21.612,101.574,forest,Asia,China,2015
GF04009232S,0.819905213,0.180094787,24.53,101.02,forest,Asia,China,2014
GF04009234S,0.817610063,0.182389937,21.61,101.57,forest,Asia,China,2016
GF04009236S,0.9375,0.0625,21.612,101.574,forest,Asia,China,2015
GF04009237S,0.814159292,0.185840708,21.61,101.57,forest,Asia,China,2016
GF04009239S,0.759493671,0.240506329,27.12,100.17,forest,Asia,China,2014
GF04009240S,0.840236686,0.159763314,21.61,101.57,forest,Asia,China,2017
GF04009241S,0.791411043,0.208588957,21.61,101.57,forest,Asia,China,2017
GF04009242S,0.765151515,0.234848485,21.61,101.57,forest,Asia,China,2016
GF04009245S,0.743589744,0.256410256,27.12,100.17,forest,Asia,China,2014
GF04009246S,0.718309859,0.281690141,27.12,100.17,forest,Asia,China,2014
GF04009248S,0.71641791,0.28358209,24.53,101.02,forest,Asia,China,2017
GF04009249S,0.765714286,0.234285714,24.53,101.02,forest,Asia,China,2017
GF04009251S,0.813333333,0.186666667,21.61,101.57,forest,Asia,China,2016
GF04009254S,0.770588235,0.229411765,24.53,101.02,forest,Asia,China,2014
GF04009255S,0.756944444,0.243055556,24.53,101.02,forest,Asia,China,2014
GF04009257S,0.746031746,0.253968254,27.12,100.17,forest,Asia,China,2014
GF04009259S,0.788571429,0.211428571,27.12,100.17,forest,Asia,China,2017
GF04009260S,0.795454545,0.204545455,27.12,100.17,forest,Asia,China,2014
GF04009264S,0.810126582,0.189873418,21.61,101.57,forest,Asia,China,2017
GF04009265S,0.824,0.176,21.61,101.57,forest,Asia,China,2017
GF04009266S,0.789855072,0.210144928,21.61,101.57,forest,Asia,China,2017
GF04009267S,0.8046875,0.1953125,21.61,101.57,forest,Asia,China,2016
GF04009268S,0.769230769,0.230769231,21.61,101.57,forest,Asia,China,2016
GF04009269S,0.798122066,0.201877934,27.12,100.17,forest,Asia,China,2017
GF04009270S,0.810810811,0.189189189,27.12,100.17,forest,Asia,China,2017
GF04009271S,0.813953488,0.186046512,21.61,101.57,forest,Asia,China,2017
GF04009272S,0.798449612,0.201550388,21.61,101.57,forest,Asia,China,2017
GF04009273S,0.798913043,0.201086957,27.12,100.17,forest,Asia,China,2014
GF04009274S,0.754010695,0.245989305,27.12,100.17,forest,Asia,China,2017
GF04009276S,0.76754386,0.23245614,24.53,101.02,forest,Asia,China,2017
GF04009277S,0.81773399,0.18226601,24.53,101.02,forest,Asia,China,2017
GF04009278S,0.694444444,0.305555556,24.533,101.016,forest,Asia,China,2015
GF04009279S,0.777310924,0.222689076,27.12,100.17,forest,Asia,China,2014
GF04009280S,0.830097087,0.169902913,27.12,100.17,forest,Asia,China,2014
GF04009281S,0.847222222,0.152777778,24.53,101.02,forest,Asia,China,2017
GF04009282S,0.713592233,0.286407767,27.12,100.17,forest,Asia,China,2014
GF04009283S,0.810344828,0.189655172,24.53,101.02,forest,Asia,China,2014
GF04009284S,0.8,0.2,27.12,100.17,forest,Asia,China,2014
GF04009285S,0.758293839,0.241706161,27.12,100.17,forest,Asia,China,2014
GF04009286S,0.721804511,0.278195489,27.12,100.17,forest,Asia,China,2014
GF04009288S,0.797546012,0.202453988,27.12,100.17,forest,Asia,China,2017
GF04009289S,0.785340314,0.214659686,27.12,100.17,forest,Asia,China,2014
GF04009290S,0.775862069,0.224137931,27.12,100.17,forest,Asia,China,2014
GF04009292S,0.837837838,0.162162162,21.61,101.57,forest,Asia,China,2016
GF04009293S,0.807017544,0.192982456,21.61,101.57,forest,Asia,China,2016
GF04009294S,0.78974359,0.21025641,21.61,101.57,forest,Asia,China,2017
GF04009296S,0.763313609,0.236686391,27.12,100.17,forest,Asia,China,2017
GF04009298S,0.796296296,0.203703704,24.53,101.02,forest,Asia,China,2017
GF04009299S,0.754385965,0.245614035,24.53,101.02,forest,Asia,China,2017
GF04009300S,0.737864078,0.262135922,27.12,100.17,forest,Asia,China,2017
GF04009301S,0.769230769,0.230769231,27.12,100.17,forest,Asia,China,2017
GF04009302S,0.777173913,0.222826087,27.12,100.17,forest,Asia,China,2017
GF04009303S,0.773584906,0.226415094,27.12,100.17,forest,Asia,China,2014
GF04009304S,0.773913043,0.226086957,27.12,100.17,forest,Asia,China,2017
GF04009305S,0.755656109,0.244343891,27.12,100.17,forest,Asia,China,2014
GF04009306S,0.785185185,0.214814815,21.61,101.57,forest,Asia,China,2017
GF04009307S,0.797546012,0.202453988,27.12,100.17,forest,Asia,China,2017
GF04009308S,0.791666667,0.208333333,27.12,100.17,forest,Asia,China,2017
GF04009309S,0.733009709,0.266990291,27.12,100.17,forest,Asia,China,2014
GF04009311S,0.787564767,0.212435233,27.12,100.17,forest,Asia,China,2014
GF04009312S,0.735099338,0.264900662,27.12,100.17,forest,Asia,China,2017
GF04009313S,0.765957447,0.234042553,27.12,100.17,forest,Asia,China,2017
GF04009314S,0.760736196,0.239263804,27.12,100.17,forest,Asia,China,2017
GF04009315S,0.724324324,0.275675676,27.12,100.17,forest,Asia,China,2017
GF04009317S,0.798742138,0.201257862,27.12,100.17,forest,Asia,China,2014
GF04009318S,0.733944954,0.266055046,27.12,100.17,forest,Asia,China,2014
GF04009319S,0.824742268,0.175257732,27.12,100.17,forest,Asia,China,2017
GF04009320S,0.779069767,0.220930233,27.12,100.17,forest,Asia,China,2017
GF04009321S,0.779166667,0.220833333,27.12,100.17,forest,Asia,China,2014
GF04009323S,0.760736196,0.239263804,27.12,100.17,forest,Asia,China,2017
GF04009324S,0.724867725,0.275132275,27.12,100.17,forest,Asia,China,2017
GF04009325S,0.7265625,0.2734375,27.12,100.17,forest,Asia,China,2017
GF04009326S,0.802575107,0.197424893,27.12,100.17,forest,Asia,China,2017
GF04009328S,0.795918367,0.204081633,27.12,100.17,forest,Asia,China,2017
GF04009329S,0.718181818,0.281818182,27.12,100.17,forest,Asia,China,2014
GF04009330S,0.738693467,0.261306533,27.12,100.17,forest,Asia,China,2017
GF04009331S,0.792682927,0.207317073,21.61,101.57,forest,Asia,China,2017
GF04009332S,0.807511737,0.192488263,27.12,100.17,forest,Asia,China,2017
GF04009333S,0.758333333,0.241666667,27.12,100.17,forest,Asia,China,2014
GF04009334S,0.755980861,0.244019139,27.12,100.17,forest,Asia,China,2014
GF04009336S,0.765765766,0.234234234,27.12,100.17,forest,Asia,China,2014
GF04009337S,0.797619048,0.202380952,24.53,101.02,forest,Asia,China,2017
GF04009338S,0.7593361,0.2406639,24.53,101.02,forest,Asia,China,2017
GF04009339S,0.811188811,0.188811189,24.53,101.02,forest,Asia,China,2017
GF04009340S,0.808641975,0.191358025,24.53,101.02,forest,Asia,China,2017
GF04009342S,0.753246753,0.246753247,27.167,100.167,forest,Asia,China,2015
GF04009343S,0.858974359,0.141025641,21.61,101.57,forest,Asia,China,2017
GF04009344S,0.81372549,0.18627451,27.12,100.17,forest,Asia,China,2014
GF04009345S,0.785276074,0.214723926,27.12,100.17,forest,Asia,China,2014
GF04009346S,0.762711864,0.237288136,27.12,100.17,forest,Asia,China,2014
