"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Amanita pantherina","Amanita pantherina (DC.) Secr.","yes","yes",0,1,NA,"Agaricus pantherinus, Amanita pantherina",NA,"yes"
"Amanita parcivolvata","Amanita parcivolvata",NA,"yes",0,1,NA,"Amanita parcivolvata",NA,"yes"
"Amanita peltigera","Amanita peltigera D.A.Reid","yes","yes",15,41,NA,"Amanita peltigera",NA,"yes"
"Amanita persicina","Amanita persicina R.N.Hilton & S.Clancy","yes",NA,0,0,NA,"Amanita persicina",NA,"yes"
"Amanita phalloides","Amanita phalloides (Fr.) Link","yes","yes",194,42,NA,"Agaricus phalloides, Amanita phalloides",NA,"yes"
"Amanita preissii","Amanita preissii (Fr.) Sacc.","yes","yes",3,111,NA,"Agaricus preissii, Amanita preissii",NA,"yes"
"Amanita pseudoarenaria","Amanita pseudoarenaria E.M.Davison, Giustiniano & Bougher","yes","yes",0,4,NA,"Amanita pseudoarenaria",NA,"yes"
"Amanita pseudoinculta","Amanita pseudoinculta Justo","yes","yes",0,13,NA,"Amanita pseudoinculta, Torrendia arenaria",NA,"yes"
"Amanita punctata","Amanita punctata (Cleland & Cheel) D.A.Reid","yes",NA,0,0,NA,"Amanita punctata, Amanitopsis punctata",NA,"yes"
"Amanita pupatju","Amanita pupatju E.M.Davison, Giustiniano, McGurk & E.L.J.Watkin","yes","yes",0,2,NA,"Amanita pupatju",NA,"yes"
"Amanita pyramidifera","Amanita pyramidifera D.A.Reid","yes","yes",134,14,NA,"Amanita pyramidifera",NA,"yes"
"Amanita pyramidiferina","Amanita pyramidiferina A.E.Wood","yes","yes",3,11,NA,"Amanita pyramidiferina",NA,NA
"Amanita quenda","Amanita quenda E.M.Davison","yes","yes",1,13,NA,"Amanita quenda",NA,"yes"
"Amanita reidii","Amanita reidii Eicker & Greuning","yes",NA,0,0,NA,"Amanita reidii",NA,NA
"Amanita rosea","Amanita rosea D.A.Reid","yes","yes",0,7,NA,"Amanita rosea",NA,NA
"Amanita roseolamellata","Amanita roseolamellata A.E.Wood","yes","yes",17,23,NA,"Amanita roseolamellata","yes","yes"
