"dark_taxa_hotspot_index","CHELSA_BIO_Annual_Mean_Temperature","CHELSA_BIO_Annual_Precipitation","SG_Soil_pH_H2O_005cm","SG_SOC_Content_005cm","GRIP4_DistanceToAllRoads","GHS_Population_Density","ecm_sampleintensity_5degrees","veg_prop_ECM_Jinsu","host_family_richness","Pinaceae","Fabaceae","Achatocarpaceae","Asteraceae","Myrtaceae","Rosaceae","Juglandaceae","Casuarinaceae","Betulaceae","Dipterocarpaceae","Goodeniaceae","Ericaceae","Asteropeiaceae","Rhamnaceae","Fagaceae","Cistaceae","Polygonaceae","Malvaceae","Sarcolaenaceae","Gnetaceae","Nyctaginaceae","Nothofagaceae","Salicaceae","Ticodendraceae","Phyllanthaceae"
0.0826549381017685,14.4667625427246,733.976928710938,48.4152793884277,207.959396362305,1463.8544921875,0,0.0024315610062331,70,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0427395515143871,-74.4336547851562,641.590209960938,77.5716247558594,39.3712348937988,19672.677734375,0,0.0447609648108482,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0136957243084908,71.4997177124023,428.041931152344,69.0730743408203,21.6878356933594,300.924438476562,0,0.0065394607372582,1,9,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.13843946158886,13.4503040313721,854.385681152344,49.335075378418,166.494613647461,2068.15502929688,0,0.00265758903697133,86,7,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0.063881978392601,18.499719619751,646.811706542969,48.5397796630859,169.865036010742,4559.09326171875,0,0.000268744974164292,87,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0.0117897456511855,182.5,211.688232421875,75.3594360351562,6,18055.828125,0,0.00624085543677211,50,6,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0623529069125652,256.483581542969,1892.79736328125,45.8772201538086,19.091495513916,63935.83203125,0.0359735302627087,0.00474782753735781,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0741986259818077,267.5,2635.47387695312,44.664005279541,137.189926147461,438.184661865234,0,0.000268744974164292,10,6,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0329743623733521,-37.5,840.420104980469,45.7479209899902,318.88720703125,238.519073486328,0,0,20,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.00594497006386518,66.5,186.389953613281,77.6755828857422,25.9563331604004,35665.30078125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0827492401003838,63.5,855.155395507812,46.7757682800293,138.839248657227,935.503723144531,0,0.569841086864471,70,8,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.00389342708513141,173.433227539062,201.681686401367,79.3899536132812,5.93653535842896,969.088684082031,0,0.00510241976007819,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
